Test for Q4_5CPU begins
CPUProcess(4):, outer i: 0, Prio: 32745, Preempt: 1,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 20,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 19,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 18,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 17,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 16,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 15,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 14,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 13,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 12,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 11,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 10,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 9,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 8,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 7,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 6,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 5,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 4,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 3,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 2,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32766, Preempt: 1,cputot: 1
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 20,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 19,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 18,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 17,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 16,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 15,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 14,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 13,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 12,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 11,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 10,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 9,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 8,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 7,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 6,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 5,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 4,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 3,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 2,cputot: 21
CPUProcess(5):, outer i: 0, Prio: 32745, Preempt: 1,cputot: 21
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 20,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 19,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 18,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 17,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 16,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 15,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 14,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 13,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 12,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 11,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 10,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 9,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 8,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 7,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 6,cputot: 1
CPUProcess(6):, outer i: 0, Prio: 32766, Preempt: 5,cputot: 1
